Reserved Words,Literals,Identifiers,Separators,Operators
struct,true,struct_teste,{,=
int,0,a,",",<=
int,10,b,},+
enumeration,1,enum_teste,{,=
func,true,A,",",==
int,10,B,},=
boolean,0,func_if_teste,(,
while,true,var,),
for,0,i,{,
int,,i,(,
if,,i,),
return,,var,{,
else,,func_match_teste,(,
return,,var,",",
func,,main,",",
int,,var1,),
boolean,,teste,{,
func,,var1,(,
int,,,),
let,,,{,
return,,,;,
,,,},
,,,{,
,,,;,
,,,},
,,,},
,,,},
,,,},
,,,(,
,,,),
,,,{,
,,,},
,,,(,
,,,),
,,,{,
,,,;,
,,,(,
,,,),
,,,;,
,,,;,
,,,},
